% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:22
% Table:              20000tempsPine - 
% Time                   Tvol (K)                 Tst (K), Point: 6        Tc (K), Point: 9         Tl (K), Point: 10        Tw (K), Point: 11        Tsa (K)
1                        450.71392979063745       611.9052566666159        333.65032429909036       628.6055638251039        575.5531723743643        595.9400445990623
1                        450.71392979063745       611.9052566666159        333.65032429909036       628.6055638251039        575.5531723743643        595.9400445990623
1.1                      460.5030666752953        619.5058351371647        341.6405715167904        636.6571242762345        581.7797431671263        602.9613970073534
1.2                      469.7553919967746        626.4166109624837        349.71942292215004       643.876136100834         587.4496778346602        609.3724157268819
1.3                      478.52545421830365       632.7506082123672        357.7969579127968        650.4055476188807        592.6697432367571        615.2781638023769
1.4                      486.8618753977629        638.597523158564         365.8093015497791        656.3591225068602        597.5225574911841        620.7609198585204
1.5                      494.83281403689614       644.0657196614394        373.6993319908721        661.8733382126231        602.1022319860311        625.917347832607
1.6                      502.4435801352175        649.1639066402137        381.4621276103052        666.9591753774865        606.4164230195291        630.7552623815
1.7000000000000002       509.7074777739128        653.9101708185567        389.09360566566863       671.6389280462926        610.4798086188857        635.2901766936776
1.8                      516.6799582181937        658.3840599204442        396.56755281499784       676.011335090523         614.3585891565646        639.5912832882093
1.9                      523.3312538911516        662.5428708085467        403.8980410126598        680.0233911018778        618.017226675534         643.6214379515807
2                        529.7202390993706        666.4667037611839        411.06698197390443       683.7744108646012        621.5185728427236        647.449556482155
2.1                      535.8616050952869        670.1755466725097        418.0698620225173        687.2891769816629        624.8783114047108        651.0928358449281
2.2                      541.7383996387765        673.6459616993716        424.91274016584117       690.5385414714681        628.0778309135334        654.5310380741624
2.3                      547.4239428648447        676.9690542046505        431.592772225405         693.6334314076128        631.183512900477         657.840863661436
2.4000000000000004       552.8845028921996        680.1029099816861        438.11126670249183       696.5228133477191        634.1648176790433        660.9870255484234
2.5                      558.1426538769143        683.0731558391567        444.4726704123811        699.2373434599808        637.0387540931216        663.9907267132837
2.6                      563.2286618363669        685.9141506000432        450.6829453670012        701.8181236182013        639.8281265372691        666.8803947836615
2.7                      568.1232342358521        688.6039928435497        456.73829118785545       704.2389541637325        642.5183987556468        669.6379090737812
2.8                      572.8640909383669        691.1822346378738        462.65311772406733       706.5461294208154        645.1337045129802        672.2956454139904
2.9000000000000004       577.4457378930007        693.6431150640801        468.42532612274624       708.7329064336132        647.6705286286855        674.8488881334727
3                        581.872691379062         695.9903091380787        474.0585951409729        710.8032137047106        650.1307023004701        677.300663991267
3.1                      586.1937038057577        698.2698560914024        479.58090778970256       712.8091517119443        652.5403475820676        679.6887477366029
3.2                      590.384093005544         700.4584473727771        484.97809694615887       714.7243432413898        654.8862395084085        681.9940149260404
3.3000000000000003       594.4438589782642        702.5560829822027        490.2501626103418        716.5487882930471        657.1683780794933        684.2164655595784
3.4000000000000004       598.3730017240006        704.5627629196791        495.3971047822514        718.2824868669162        659.3867632953215        686.3560996372155
3.5                      602.1715212427866        706.4784871852069        500.41892346188763       719.9254389629971        661.5413951558934        688.4129171589678
3.6                      605.893744395326         708.3506660061124        505.3538819679081        721.5294360270549        663.658456451389         690.4263565998006
3.7                      609.504111939251         710.1482673708748        510.17693532979973       723.0605783536402        665.72080943132          692.3706037993917
3.8000000000000003       613.0017046970121        711.87048912733          514.887436155521         724.5179896630416        667.7280110988272        694.2449914827722
3.9000000000000004       616.3865226687249        713.5173312754778        519.4853844450718        725.9016699552598        669.6800614539105        696.0495196499246
4                        619.6585658543684        715.0887938153187        523.9707801984521        727.2116192302942        671.5769604965698        697.7841883008523
4.1                      622.866039126852         716.6254035392477        528.3792382904519        728.4916890062831        673.4412629130721        699.483145095043
4.2                      625.9956019113295        718.1159447615148        532.7009023959076        729.729743488162         675.266726751898         701.1369397554164
4.300000000000001        629.0338815931271        719.5491748598539        536.9258925178926        730.9136177345412        677.0470950703425        702.7360993082898
