	sphere				Shell model (no microstructure) 				Microstructure model		
Time(s)	Volume averaged	surface	center		volume averaged	surface	center		volume averaged	surface	center
4.35	772.86091	772.91657	772.76425		773.12816	773.14083	773.11724		773.11073	773.13569	773.08722
4.4	772.88302	772.93443	772.79375		773.13042	773.14178	773.12062		773.11456	773.13709	773.09332
4.45	772.90344	772.95091	772.821		773.13244	773.14263	773.12365		773.11802	773.13836	773.09884
4.5	772.92229	772.96614	772.84616		773.13426	773.1434	773.12637		773.12113	773.13949	773.10382
4.55	772.93971	772.9802	772.86939		773.13588	773.14408	773.12881		773.12395	773.14052	773.10831
4.6	772.95579	772.99319	772.89085		773.13734	773.14469	773.131		773.12649	773.14145	773.11237
4.65	772.97064	773.00518	772.91067		773.13865	773.14524	773.13296		773.12878	773.14228	773.11603
4.7	772.98436	773.01625	772.92897		773.13982	773.14573	773.13472		773.13085	773.14304	773.11934
4.75	772.99702	773.02648	772.94587		773.14088	773.14618	773.1363		773.13271	773.14372	773.12232
4.8	773.00872	773.03593	772.96148		773.14182	773.14657	773.13772		773.1344	773.14433	773.12502
4.85	773.01952	773.04465	772.9759		773.14266	773.14693	773.13899		773.13592	773.14488	773.12745
4.9	773.0295	773.05271	772.98921		773.14342	773.14724	773.14012		773.13729	773.14538	773.12965
4.95	773.03872	773.06015	773.00151		773.1441	773.14753	773.14114		773.13853	773.14583	773.13163
5	773.04723	773.06702	773.01286		773.14471	773.14778	773.14206		773.13965	773.14624	773.13342
5.05	773.05508	773.07336	773.02335		773.14526	773.14801	773.14288		773.14066	773.14661	773.13503
5.1	773.06234	773.07922	773.03303		773.14575	773.14822	773.14361		773.14157	773.14694	773.13649
5.15	773.06904	773.08463	773.04198		773.14619	773.1484	773.14427		773.14239	773.14724	773.1378
5.2	773.07523	773.08963	773.05024		773.14658	773.14857	773.14487		773.14313	773.14751	773.13899
5.25	773.08095	773.09425	773.05786		773.14694	773.14872	773.1454		773.1438	773.14775	773.14006
5.3	773.08623	773.09851	773.06491		773.14725	773.14885	773.14587		773.1444	773.14797	773.14103
5.35	773.09111	773.10245	773.07142		773.14754	773.14897	773.1463		773.14495	773.14817	773.1419
5.4	773.09561	773.10608	773.07742		773.14779	773.14907	773.14668		773.14544	773.14835	773.14269
5.45	773.09977	773.10944	773.08297		773.14802	773.14917	773.14702		773.14589	773.14851	773.1434
5.5	773.10361	773.11254	773.0881		773.14822	773.14926	773.14733		773.14629	773.14865	773.14405
5.55	773.10716	773.11541	773.09283		773.14841	773.14933	773.14761		773.14665	773.14879	773.14463
5.6	773.11043	773.11805	773.0972		773.14857	773.1494	773.14785		773.14698	773.1489	773.14515
5.65	773.11346	773.12049	773.10124		773.14872	773.14946	773.14808		773.14727	773.14901	773.14562
5.7	773.11625	773.12275	773.10497		773.14885	773.14952	773.14827		773.14754	773.14911	773.14605
5.75	773.11883	773.12483	773.10841		773.14897	773.14957	773.14845		773.14778	773.14919	773.14643
5.8	773.12122	773.12676	773.11159		773.14908	773.14961	773.14861		773.14799	773.14927	773.14678
5.85	773.12342	773.12854	773.11453		773.14917	773.14965	773.14876		773.14819	773.14934	773.14709
5.9	773.12545	773.13018	773.11724		773.14926	773.14969	773.14888		773.14837	773.14941	773.14738
5.95	773.12733	773.13169	773.11975		773.14933	773.14972	773.149		773.14852	773.14947	773.14763
6	773.12906	773.13309	773.12206		773.1494	773.14975	773.1491		773.14867	773.14952	773.14786
6.05	773.13066	773.13438	773.12419		773.14946	773.14978	773.1492		773.1488	773.14956	773.14807
6.1	773.13214	773.13558	773.12617		773.14952	773.1498	773.14928		773.14892	773.14961	773.14826
6.15	773.13351	773.13668	773.12799		773.14957	773.14982	773.14935		773.14902	773.14965	773.14843
6.2	773.13477	773.1377	773.12967		773.14961	773.14984	773.14942		773.14912	773.14968	773.14858
6.25	773.13593	773.13864	773.13123		773.14965	773.14986	773.14948		773.1492	773.14971	773.14872
6.3	773.13701	773.13951	773.13266		773.14969	773.14987	773.14953		773.14928	773.14974	773.14885
6.35	773.138	773.14031	773.13399		773.14972	773.14988	773.14958		773.14935	773.14976	773.14896
6.4	773.13892	773.14105	773.13521		773.14975	773.1499	773.14963		773.14941	773.14979	773.14906
6.45	773.13977	773.14174	773.13634		773.14978	773.14991	773.14966		773.14947	773.14981	773.14915
6.5	773.14055	773.14237	773.13739		773.1498	773.14992	773.1497		773.14952	773.14983	773.14923
6.55	773.14127	773.14295	773.13835		773.14982	773.14992	773.14973		773.14957	773.14984	773.14931
6.6	773.14194	773.14349	773.13924		773.14984	773.14993	773.14976		773.14961	773.14986	773.14938
6.65	773.14255	773.14399	773.14006		773.14986	773.14994	773.14978		773.14965	773.14987	773.14944
6.7	773.14312	773.14445	773.14082		773.14987	773.14995	773.14981		773.14968	773.14989	773.14949
6.75	773.14365	773.14487	773.14153		773.14988	773.14995	773.14983		773.14971	773.1499	773.14954
6.8	773.14413	773.14526	773.14217		773.1499	773.14996	773.14984		773.14974	773.14991	773.14959
6.85	773.14458	773.14563	773.14277		773.14991	773.14996	773.14986		773.14977	773.14992	773.14963
6.9	773.145	773.14596	773.14332		773.14992	773.14996	773.14987		773.14979	773.14992	773.14966
6.95	773.14538	773.14627	773.14384		773.14992	773.14997	773.14989		773.14981	773.14993	773.1497
7	773.14573	773.14655	773.14431		773.14993	773.14997	773.1499		773.14983	773.14994	773.14973
7.05	773.14606	773.14682	773.14474		773.14994	773.14997	773.14991		773.14985	773.14994	773.14975
7.1	773.14636	773.14706	773.14514		773.14995	773.14998	773.14992		773.14986	773.14995	773.14978
7.15	773.14664	773.14729	773.14552		773.14995	773.14998	773.14993		773.14987	773.14995	773.1498
7.2	773.1469	773.14749	773.14586		773.14996	773.14998	773.14993		773.14989	773.14996	773.14982
7.25	773.14713	773.14769	773.14617		773.14996	773.14998	773.14994		773.1499	773.14996	773.14984
7.3	773.14735	773.14786	773.14647		773.14996	773.14999	773.14995		773.14991	773.14997	773.14985
7.35	773.14755	773.14803	773.14674		773.14997	773.14999	773.14995		773.14992	773.14997	773.14987
7.4	773.14774	773.14818	773.14699		773.14997	773.14999	773.14996		773.14992	773.14997	773.14988
7.45	773.14791	773.14832	773.14722		773.14997	773.14999	773.14996		773.14993	773.14998	773.14989
7.5	773.14807	773.14844	773.14743		773.14998	773.14999	773.14997		773.14994	773.14998	773.1499
7.55	773.14822	773.14856	773.14763		773.14998	773.14999	773.14997		773.14994	773.14998	773.14991
7.6	773.14836	773.14867	773.14781		773.14998	773.14999	773.14997		773.14995	773.14998	773.14992
7.65	773.14848	773.14877	773.14798		773.14998	773.14999	773.14998		773.14995	773.14998	773.14993
7.7	773.1486	773.14887	773.14813		773.14999	773.14999	773.14998		773.14996	773.14999	773.14993
7.75	773.14871	773.14896	773.14827		773.14999	773.14999	773.14998		773.14996	773.14999	773.14994
7.8	773.1488	773.14904	773.14841		773.14999	773.15	773.14998		773.14997	773.14999	773.14995
7.85	773.1489	773.14911	773.14853		773.14999	773.15	773.14998		773.14997	773.14999	773.14995
7.9	773.14898	773.14918	773.14864		773.14999	773.15	773.14999		773.14997	773.14999	773.14996
7.95	773.14906	773.14924	773.14874		773.14999	773.15	773.14999		773.14998	773.14999	773.14996
8	773.14913	773.1493	773.14884		773.14999	773.15	773.14999		773.14998	773.14999	773.14996
8.05	773.1492	773.14935	773.14893		773.14999	773.15	773.14999		773.14998	773.14999	773.14997
8.1	773.14926	773.1494	773.14901		773.14999	773.15	773.14999		773.14998	773.14999	773.14997
8.15	773.14932	773.14945	773.14909		773.14999	773.15	773.14999		773.14998	773.14999	773.14997
8.2	773.14937	773.14949	773.14916		773.15	773.15	773.14999		773.14999	773.14999	773.14998
8.25	773.14942	773.14953	773.14922		773.15	773.15	773.14999		773.14999	773.15	773.14998
8.3	773.14946	773.14956	773.14928		773.15	773.15	773.14999		773.14999	773.15	773.14998
8.35	773.1495	773.1496	773.14934		773.15	773.15	773.14999		773.14999	773.15	773.14998
8.4	773.14954	773.14963	773.14939		773.15	773.15	773.15		773.14999	773.15	773.14998
8.45	773.14958	773.14966	773.14943		773.15	773.15	773.15		773.14999	773.15	773.14999
8.5	773.14961	773.14968	773.14948		773.15	773.15	773.15		773.14999	773.15	773.14999
8.55	773.14964	773.14971	773.14952		773.15	773.15	773.15		773.14999	773.15	773.14999
8.6	773.14967	773.14973	773.14955		773.15	773.15	773.15		773.14999	773.15	773.14999
8.65	773.14969	773.14975	773.14959		773.15	773.15	773.15		773.14999	773.15	773.14999
8.7	773.14971	773.14977	773.14962		773.15	773.15	773.15		773.14999	773.15	773.14999
8.75	773.14974	773.14979	773.14965		773.15	773.15	773.15		773.15	773.15	773.14999
8.8	773.14976	773.1498	773.14968		773.15	773.15	773.15		773.15	773.15	773.14999
8.85	773.14978	773.14982	773.1497		773.15	773.15	773.15		773.15	773.15	773.14999
8.9	773.14979	773.14983	773.14972		773.15	773.15	773.15		773.15	773.15	773.14999
8.95	773.14981	773.14985	773.14974		773.15	773.15	773.15		773.15	773.15	773.14999
9	773.14982	773.14986	773.14976		773.15	773.15	773.15		773.15	773.15	773.15
9.05	773.14984	773.14987	773.14978		773.15	773.15	773.15		773.15	773.15	773.15
9.1	773.14985	773.14988	773.1498		773.15	773.15	773.15		773.15	773.15	773.15
9.15	773.14986	773.14989	773.14981		773.15	773.15	773.15		773.15	773.15	773.15
9.2	773.14987	773.1499	773.14983		773.15	773.15	773.15		773.15	773.15	773.15
9.25	773.14988	773.1499	773.14984		773.15	773.15	773.15		773.15	773.15	773.15
9.3	773.14989	773.14991	773.14985		773.15	773.15	773.15		773.15	773.15	773.15
9.35	773.1499	773.14992	773.14986		773.15	773.15	773.15		773.15	773.15	773.15
9.4	773.14991	773.14992	773.14987		773.15	773.15	773.15		773.15	773.15	773.15
9.45	773.14991	773.14993	773.14988		773.15	773.15	773.15		773.15	773.15	773.15
9.5	773.14992	773.14994	773.14989		773.15	773.15	773.15		773.15	773.15	773.15
9.55	773.14993	773.14994	773.1499		773.15	773.15	773.15		773.15	773.15	773.15
9.6	773.14993	773.14994	773.14991		773.15	773.15	773.15		773.15	773.15	773.15
9.65	773.14994	773.14995	773.14992		773.15	773.15	773.15		773.15	773.15	773.15
9.7	773.14994	773.14995	773.14992		773.15	773.15	773.15		773.15	773.15	773.15
9.75	773.14995	773.14996	773.14993		773.15	773.15	773.15		773.15	773.15	773.15
9.8	773.14995	773.14996	773.14993		773.15	773.15	773.15		773.15	773.15	773.15
9.85	773.14995	773.14996	773.14994		773.15	773.15	773.15		773.15	773.15	773.15
9.9	773.14996	773.14997	773.14994		773.15	773.15	773.15		773.15	773.15	773.15
9.95	773.14996	773.14997	773.14995		773.15	773.15	773.15		773.15	773.15	773.15
10	773.14996	773.14997	773.14995		773.15	773.15	773.15		773.15	773.15	773.15
