% Model:              gavins_sphere.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jan 29 2016, 09:25
% Table:              Table 2 - Volume Average 1 (T)
% Time (s)               volume average (K)       center (K), Point: 4     surface average (K)
8.450000000000001        773.0009386858493        773.0013292100784        773.0007089517785
8.5                      773.0008922372153        773.0012634433448        773.0006738699674
8.55                     773.000853747627         773.0012089452306        773.0006447995846
8.6                      773.0008232170883        773.0011657157361        773.00062174063
8.65                     773.0008006455987        773.0011337548613        773.0006046931055
8.700000000000001        773.0007860331575        773.0011130626061        773.0005936570092
8.75                     773.0007793797635        773.0011036389704        773.0005886323396
8.8                      773.0007806854198        773.0011054839547        773.0005896190979
8.85                     773.0007899501223        773.0011185975583        773.0005966172878
8.9                      773.000807173877         773.0011429797815        773.0006096269028
8.950000000000001        773.0008323566786        773.0011786306246        773.0006286479454
9                        773.0008654985289        773.0012255500873        773.0006536804196
9.05                     773.0009065994285        773.0012837381694        773.00068472432
9.1                      773.0009556593749        773.0013531948712        773.0007217796474
9.15                     773.0010126783715        773.0014339201928        773.0007648464067
9.200000000000001        773.0010074553039        773.0014265205475        773.0007609022396
9.25                     773.0009770864149        773.001383518409         773.0007379656296
9.3                      773.000946717524         773.0013405162706        773.0007150290241
9.35                     773.0009163486367        773.0012975141323        773.0006920924147
9.4                      773.0008859797451        773.0012545119937        773.000669155808
9.450000000000001        773.0008556108547        773.0012115098552        773.0006462192008
9.5                      773.0008252419656        773.0011685077169        773.0006232825918
9.55                     773.0007948730753        773.0011255055784        773.0006003459835
9.600000000000001        773.0007645041846        773.0010825034401        773.000577409376
9.65                     773.0007341352963        773.0010395013016        773.0005544727697
9.700000000000001        773.0007037664051        773.0009964991631        773.0005315361622
9.75                     773.0006733975151        773.0009534970247        773.0005085995524
9.8                      773.0006430286265        773.0009104948863        773.000485662946
9.850000000000001        773.0006126597348        773.000867492748         773.0004627263384
9.9                      773.000582290846         773.0008244906095        773.0004397897294
9.950000000000001        773.0005519219549        773.0007814884709        773.0004168531236
10                       773.0005215530654        773.0007384863326        773.0003939165139
