% Model:              gavins_cube.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jan 29 2016, 09:11
% Table:              Table 1 - Volume Average 1 (T)
% Time (s)               volume average (K)       center (K), Point: 5     corner (K), Point: 2     surface average (K)
3.3000000000000003       772.8878244036273        772.8279759448917        772.9604503720639        772.9207512175805
3.35                     772.9136003527283        772.8674961919504        772.9695404962449        772.9389627300757
3.4000000000000004       772.9176532405245        772.8737118309667        772.9709692887894        772.9418258901137
3.45                     772.9217061283189        772.879927469983         772.9723980813338        772.9446890501498
3.5                      772.9257590161118        772.8861431089992        772.9738268738784        772.9475522101854
3.5500000000000003       772.9298119039067        772.8923587480156        772.9752556664228        772.9504153702251
3.6                      772.9338647917019        772.8985743870319        772.9766844589674        772.9532785302592
3.6500000000000004       772.9379176794952        772.9047900260482        772.9781132515118        772.9561416903
3.7                      772.941970567288         772.9110056650644        772.9795420440563        772.9590048503347
3.75                     772.9460234550828        772.9172213040806        772.9809708366007        772.9618680103723
3.8000000000000003       772.9500763428764        772.923436943097         772.9823996291452        772.9647311704093
3.85                     772.9541292306698        772.9296525821132        772.9838284216899        772.9675943304463
3.9000000000000004       772.9581821184632        772.9358682211296        772.9852572142343        772.9704574904855
3.95                     772.9622350062591        772.9420838601459        772.9866860067788        772.9733206505201
4                        772.9662878940509        772.9482994991622        772.9881147993232        772.976183810558
4.05                     772.9703407818452        772.9545151381784        772.9895435918677        772.9790469705946
4.1000000000000005       772.9743936696401        772.9607307771946        772.9909723844122        772.9819101306329
4.15                     772.9784465574347        772.966946416211         772.9924011769567        772.98477329067
4.2                      772.9824994452292        772.9731620552272        772.9938299695011        772.9876364507058
4.25                     772.986552333021         772.9793776942436        772.9952587620456        772.9904996107409
4.3                      772.9906052208163        772.9855933332599        772.99668755459          772.9933627707812
4.3500000000000005       772.9932208341293        772.9896047104528        772.9976096582435        772.995210571451
4.4                      772.9938333025356        772.9905439842235        772.9978255841372        772.9956432548449
4.45                     772.9944457709361        772.991483257994         772.9980415100308        772.9960759382412
4.5                      772.9950582393411        772.9924225317645        772.9982574359245        772.9965086216366
4.55                     772.9956707077442        772.9933618055351        772.9984733618181        772.9969413050308
4.6000000000000005       772.9962831761492        772.9943010793056        772.9986892877118        772.9973739884282
4.65                     772.9968956445526        772.9952403530762        772.9989052136054        772.9978066718221
4.7                      772.9975081129552        772.9961796268467        772.9991211394992        772.9982393552166
4.75                     772.9981205813608        772.9971189006174        772.9993370653928        772.9986720386125
4.800000000000001        772.9987330497653        772.9980581743879        772.9995529912865        772.9991047220074
4.8500000000000005       772.9993455181683        772.9989974481584        772.9997689171801        772.9995374054031
4.9                      772.9999579865741        772.999936721929         772.9999848430738        772.9999700887968
4.95                     773.0005704549773        773.0008759956995        773.0002007689673        773.0004027721916
5                        773.0011829233794        773.0018152694701        773.000416694861         773.0008354555864
5.050000000000001        773.0017953917833        773.0027545432406        773.0006326207546        773.0012681389842
5.1000000000000005       773.0024078601882        773.0036938170111        773.0008485466483        773.0017008223774
5.15                     773.0030203285914        773.0046330907818        773.0010644725419        773.0021335057733
5.2                      773.0036327969955        773.0055723645523        773.0012803984356        773.0025661891682
5.25                     773.0042452653989        773.0065116383229        773.0014963243292        773.0029988725635
5.300000000000001        773.0048577338017        773.0074509120934        773.0017122502229        773.0034315559585
5.3500000000000005       773.005175771986         773.0079386226054        773.0018243832975        773.0036562424378
5.4                      773.0050834596058        773.0077969845443        773.0017918592035        773.0035910413783
5.45                     773.0049911472223        773.007655346483         773.0017593351096        773.0035258403177
5.5                      773.0048988348433        773.0075137084219        773.0017268110154        773.0034606392592
5.550000000000001        773.0048065224591        773.0073720703608        773.0016942869214        773.0033954381985
5.6000000000000005       773.0047142100793        773.0072304322997        773.0016617628274        773.0033302371398
5.65                     773.004621897698         773.0070887942386        773.0016292387334        773.0032650360788
5.7                      773.0045295853164        773.0069471561776        773.0015967146393        773.0031998350181
5.75                     773.004437272934         773.0068055181165        773.0015641905453        773.0031346339574
5.800000000000001        773.0043449605507        773.0066638800554        773.0015316664512        773.0030694328987
5.8500000000000005       773.0042526481692        773.0065222419943        773.0014991423573        773.0030042318391
5.9                      773.0041603357872        773.0063806039332        773.0014666182632        773.0029390307801
5.95                     773.0040680234056        773.0062389658722        773.0014340941691        773.0028738297182
6                        773.0039757110242        773.0060973278111        773.0014015700751        773.0028086286585
6.050000000000001        773.0038833986436        773.00595568975          773.0013690459809        773.0027434276002
6.1000000000000005       773.0037910862609        773.0058140516888        773.001336521887         773.0026782265388
6.15                     773.0036987738775        773.0056724136277        773.001303997793         773.0026130254786
6.2                      773.0036064614964        773.0055307755665        773.0012714736989        773.0025478244193
6.25                     773.0035141491174        773.0053891375055        773.0012389496048        773.0024826233582
6.300000000000001        773.0034218367346        773.0052474994444        773.0012064255109        773.0024174223001
6.3500000000000005       773.0033227951111        773.0050955654795        773.001171521837         773.002347462517
6.4                      773.0032143748773        773.0049292820023        773.0011333017173        773.0022708704563
6.45                     773.0031059546448        773.0047629985252        773.0010950815976        773.0021942783914
6.5                      773.0029975344063        773.0045967150479        773.0010568614779        773.0021176863283
6.550000000000001        773.0028891141724        773.0044304315709        773.0010186413583        773.0020410942647
6.6000000000000005       773.0027806939337        773.0042641480936        773.0009804212385        773.0019645022034
6.65                     773.0026722737027        773.0040978646166        773.0009422011188        773.0018879101418
6.7                      773.0025638534651        773.0039315811393        773.000903980999         773.0018113180779
6.75                     773.0024554332313        773.0037652976623        773.0008657608794        773.0017347260139
6.800000000000001        773.0023470129956        773.003599014185         773.0008275407596        773.0016581339527
6.8500000000000005       773.0022385927618        773.0034327307079        773.0007893206399        773.0015815418875
6.9                      773.0021301725236        773.0032664472309        773.0007511005203        773.0015049498252
6.95                     773.0020217522899        773.0031001637536        773.0007128804006        773.0014283577624
7                        773.0019133320566        773.0029338802766        773.0006746602809        773.0013517656993
7.050000000000001        773.0018049118206        773.0027675967993        773.0006364401611        773.001275173638
7.1000000000000005       773.0016964915869        773.0026013133223        773.0005982200414        773.0011985815739
7.15                     773.0015880713472        773.0024350298451        773.0005599999216        773.0011219895093
7.2                      773.0014796511144        773.0022687463679        773.0005217798019        773.0010453974462
7.25                     773.0013712308803        773.0021024628908        773.0004835596824        773.0009688053838
7.300000000000001        773.0012628106466        773.0019361794136        773.0004453395626        773.0008922133209
7.3500000000000005       773.0011803950839        773.0018097865023        773.000416284364         773.0008339904533
7.4                      773.0011342225206        773.0017389895021        773.0004000024145        773.0008013689272
7.45                     773.0010880499561        773.0016681925018        773.0003837204652        773.0007687474047
7.5                      773.001041877393         773.0015973955014        773.0003674385157        773.0007361258771
7.550000000000001        773.0009957048298        773.0015265985012        773.0003511565662        773.0007035043527
7.6000000000000005       773.0009495322656        773.0014558015008        773.0003348746169        773.0006708828287
